Date,Town,Area,Incident
30-May-09,Folkestone,Kent,"A bright circular amber light, the size of a 2p coin. It was moving
very slowly in a straight line but once it flew over the witnesses
house it accelerated away very very quickly into the distance. It
made no noise and left no vapour trail."
30-May-09,"Tunstall to Butley
Road",Suffolk,"Two clusters of bright lights. They were stationary for a while then
the first group of 15 headed towards Woodbridge followed by the
second cluster of 6-7 lights. They were very high up. They made no
sound."
30-May-09,Ballynahinch,County Down,"Three distinct sets of green, orange and white lights. Don't match
any constellation and are in the wrong place. Static to the eye but
with binoculars are moving at speed and at random."
31-May-09,Chapel-en-le-Frith,Derbyshire,"Was watching shooting stars when the witness saw two bright
luminous orange objects like birds or swans. Does not think they
were birds as they moved too fast."
Jun-09,Eltham,London,Black shaped square object.
Jun-09,Baswich,Stafford,"Two objects seen.  Photograph taken in June a week after the
mystery hot air balloon search."
Jun-09,Rowley Regis,West Midlands,"Saw a long greyish tube in the sky, when driving home along the
A4031."
02-Jun-09,Chesterfield,Derbyshire,A sighting.
06-Jun-09,Lewes,East Sussex,Eleven bright star like objects heading North East.
07-Jun-09,Ripon,North Yorkshire,"Bright orange lights. A single light followed by a group of three and
then another single light. On a North East to South West track."
09-Jun-09,Bradford,West Yorkshire,"Different coloured pulsating lights. Police checked with Air Traffic
Control who said they had nothing. Police suspect Chinese lanterns."
12-Jun-09,Shoreham,Kent,"Initially two UFOs increasing to six. Bright orange. Last four were
bigger and brighter than the first two."
13-Jun-09,Porthcawl,Mid Glamorgan,"A very bright orange circular shape. Got smaller as it moved away.
Moving South West to South."
14-Jun-09,Cardiff,South Glamorgon,A UFO.
14-Jun-09,Wroughton,Wiltshire,"Black disc shaped objects hovering over crop circles near Barbury
Castle. They cast shadows on the ground."
18-Jun-09,Stevenage,Hertfordshire,"Two huge lights chasing each other like cat and mouse. It was
broken cloud and the lights would never leave the clouds, just go to
the edge. It looked like a strong light was coming from above the
clouds. They both shot off to the North."
20-Jun-09,Angmering,West Sussex,"A large orange glowing ball in the sky. It was stationary and not very
high up."
20-Jun-09,Abingdon,Oxfordshire,A UFO.
20-Jun-09,Chelmsford,Essex,"Two objects the size of light aircraft but perfectly spherical and
glowing bright orange. They were solid and made no sound. They
headed NW to SE."
20-Jun-09,Not Given,Norfolk,"11-12 objects in the sky. Witness thinks they may be Chinese
lanterns."
20-Jun-09,Angmering,West Sussex,"Ten orange lights moving at a sedate pace West to East. Went from
horizon to horizon in two minutes."
21-Jun-09,Not Given,On the A3,"50-100 objects moving together in the same direction. They were
helicopter sized but made no noise."
23-Jun-09,Hull,Humberside,A light at about 1000ft. It split in two and flew away.
23-Jun-09,Rotherham,South Yorkshire,"A circular object, metallic in colour. It was following a plane. It shot
downwards several times and then back up again to the same level
as the plane."
